"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест создания упражнения с слишком длинным строковым полем.","16","Attempt create exercise with to long value in title field","LMS service","Sun Aug 10 23:22:39 GMT 2025","passed","Sun Aug 10 23:22:39 GMT 2025","Validate entity","Exercises","",""
"
        Тест создания пользователя с пустым обязательным полем.

        Args:
            public_users_client (PublicUsersClient): Клиент для работы с публичными users эндпоинтами API.
            field_name (str): Имя поля, которое будет содержать пустое значение в запросе.

        Raises:
            AssertionError: Если статус код ответа не равен HTTPStatus.UNPROCESSABLE_ENTITY.
            AssertionError: Если данные ответа не соответствуют ожидаемым.
            ValidationError: Если данные ответа не соответствуют схеме.
        ","249","Attempt create user with empty last_name field","LMS service","Sun Aug 10 23:22:48 GMT 2025","passed","Sun Aug 10 23:22:48 GMT 2025","Validate entity","Users","",""
"
        Тест получения информации о пользователе по url users/me.

        Args:
            private_users_client (PrivateUsersClient): Клиент для работы с закрытыми users эндпоинтами API.
            function_user (UserFixture): Объект с данными созданного пользователя.

        Raises:
            AssertionError: Если статус код ответа не равен HTTPStatus.OK.
            AssertionError: Если данные ответа не соответствуют ожидаемым.
            ValidationError: Если данные ответа не соответствуют схеме.
        ","16","Get user me","LMS service","Sun Aug 10 23:22:45 GMT 2025","passed","Sun Aug 10 23:22:45 GMT 2025","Get entity","Users","",""
"
        Тест создания курса с пустым обязательным полем.

        Args:
            courses_client (CoursesClient): Клиент для работы с курсами.
            field_name (str): Имя поля, которое будет пустым в запросе.
        ","259","Attempt to create course with empty preview_file_id field","LMS service","Sun Aug 10 23:22:21 GMT 2025","passed","Sun Aug 10 23:22:21 GMT 2025","Validate entity","Courses","",""
"
        Тест создания курса.

        Args:
            courses_client (CoursesClient): Клиент для работы с курсами.
            function_user (UserFixture): Фикстура с данными пользователя.
            function_file (FileFixture): Фикстура с данными файла.
        ","299","Create course","LMS service","Sun Aug 10 23:22:23 GMT 2025","passed","Sun Aug 10 23:22:23 GMT 2025","Create entity","Courses","",""
"
        Тест создания пользователя со значением, превышающим максимальную длину поля.

        Args:
            public_users_client (PublicUsersClient): Клиент для работы с публичными users эндпоинтами API.
            field_name (str): Имя поля, которое будет содержать слишком длинное значение в запросе.

        Raises:
            AssertionError: Если статус код ответа не равен HTTPStatus.UNPROCESSABLE_ENTITY.
            AssertionError: Если данные ответа не соответствуют ожидаемым.
            ValidationError: Если данные ответа не соответствуют схеме.
        ","269","Attempt create user with to long value in email field","LMS service","Sun Aug 10 23:22:52 GMT 2025","passed","Sun Aug 10 23:22:52 GMT 2025","Validate entity","Users","",""
"Тест создания упражнения.","289","Create exercise","LMS service","Sun Aug 10 23:22:27 GMT 2025","passed","Sun Aug 10 23:22:28 GMT 2025","Create entity","Exercises","",""
"
        Тест обновления пользователя с пустым обязательным полем.

        Args:
            private_users_client (PrivateUsersClient): Клиент для работы с закрытыми users эндпоинтами API.
            function_user (UserFixture): Объект с данными созданного пользователя.
            field_name (str): Имя поля, которое будет содержать пустое значение в запросе.

        Raises:
            AssertionError: Если статус код ответа не равен HTTPStatus.UNPROCESSABLE_ENTITY.
            AssertionError: Если данные ответа не соответствуют ожидаемым.
            ValidationError: Если данные ответа не соответствуют схеме.
        ","265","Attempt update user with empty first_name field","LMS service","Sun Aug 10 23:22:50 GMT 2025","passed","Sun Aug 10 23:22:51 GMT 2025","Validate entity","Users","",""
"
        Тест проверяет, что при удалении файла,
        он удаляется из хранилища и не может быть получен по его идентификатору.

        Args:
            files_client (FilesClient): HTTP-клиент для взаимодействия с сервером.
            function_file (FileFixture): Объект с данными загруженного файла.

        Raises:
            AssertionError: Если данные в ответе не совпадают с ожидаемыми.
        ","23","Delete file","LMS service","Sun Aug 10 23:22:44 GMT 2025","passed","Sun Aug 10 23:22:44 GMT 2025","Delete entity","Files","",""
"
        Тест проверяет, что при запросе несуществующего файла,
        в ответе сервера возвращается ошибка.

        Args:
            files_client (FilesClient): HTTP-клиент для взаимодействия с сервером.

        Raises:
            AssertionError: Если данные в ответе не совпадают с ожидаемыми.
        ","265","Get file with incorrect file id","LMS service","Sun Aug 10 23:22:45 GMT 2025","passed","Sun Aug 10 23:22:45 GMT 2025","Validate entity","Files","",""
"
        Тест получения курсов.

        Args:
            function_courses_list (CoursesListFixture): Фикстура с данными списка курсов.
            courses_client (CoursesClient): Клиент для работы с курсами.
        ","32","Get courses","LMS service","Sun Aug 10 23:22:22 GMT 2025","passed","Sun Aug 10 23:22:22 GMT 2025","Get entities","Courses","",""
"Тест создания пользователя.

        Args:
            public_users_client (PublicUsersClient): Клиент для работы с публичными users эндпоинтами API.

        Raises:
            AssertionError: Если статус код ответа не равен HTTPStatus.OK.
            AssertionError: Если данные ответа не соответствуют ожидаемым.
            ValidationError: Если данные ответа не соответствуют схеме.
        ","284","Create user","LMS service","Sun Aug 10 23:22:46 GMT 2025","passed","Sun Aug 10 23:22:46 GMT 2025","Create entity","Users","",""
"
        Тест обновления пользователя с пустым обязательным полем.

        Args:
            private_users_client (PrivateUsersClient): Клиент для работы с закрытыми users эндпоинтами API.
            function_user (UserFixture): Объект с данными созданного пользователя.
            field_name (str): Имя поля, которое будет содержать пустое значение в запросе.

        Raises:
            AssertionError: Если статус код ответа не равен HTTPStatus.UNPROCESSABLE_ENTITY.
            AssertionError: Если данные ответа не соответствуют ожидаемым.
            ValidationError: Если данные ответа не соответствуют схеме.
        ","263","Attempt update user with empty last_name field","LMS service","Sun Aug 10 23:22:51 GMT 2025","passed","Sun Aug 10 23:22:52 GMT 2025","Validate entity","Users","",""
