"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Тест создания пользователя с пустым обязательным полем.

        Args:
            public_users_client (PublicUsersClient): Клиент для работы с публичными users эндпоинтами API.
            field_name (str): Имя поля, которое будет содержать пустое значение в запросе.

        Raises:
            AssertionError: Если статус код ответа не равен HTTPStatus.UNPROCESSABLE_ENTITY.
            AssertionError: Если данные ответа не соответствуют ожидаемым.
            ValidationError: Если данные ответа не соответствуют схеме.
        ","15","Attempt create user with empty last_name field","LMS service","Tue Aug 12 07:40:11 GMT 2025","passed","Tue Aug 12 07:40:11 GMT 2025","Validate entity","Users","",""
"
        Тест проверки аутентификации пользователя.

        Args:
            function_user (UserFixture): Пользователь для аутентификации.
            authentication_client (AuthenticationClient): Клиент для работы с аутентификацией.

        Raises:
            AssertionError: Если статус ответа не 200 OK или данные ответа не соответствуют ожиданиям.
            ValidationError: Если данные ответа не соответствуют схеме LoginResponseSchema.
        ","533","Login with correct email and password","LMS service","Tue Aug 12 07:39:36 GMT 2025","passed","Tue Aug 12 07:39:37 GMT 2025","Login","Authentication","",""
"
        Тест создания пользователя со значением, превышающим максимальную длину поля.

        Args:
            public_users_client (PublicUsersClient): Клиент для работы с публичными users эндпоинтами API.
            field_name (str): Имя поля, которое будет содержать слишком длинное значение в запросе.

        Raises:
            AssertionError: Если статус код ответа не равен HTTPStatus.UNPROCESSABLE_ENTITY.
            AssertionError: Если данные ответа не соответствуют ожидаемым.
            ValidationError: Если данные ответа не соответствуют схеме.
        ","13","Attempt create user with to long value in email field","LMS service","Tue Aug 12 07:40:13 GMT 2025","passed","Tue Aug 12 07:40:13 GMT 2025","Validate entity","Users","",""
"Тест создания пользователя.

        Args:
            public_users_client (PublicUsersClient): Клиент для работы с публичными users эндпоинтами API.

        Raises:
            AssertionError: Если статус код ответа не равен HTTPStatus.OK.
            AssertionError: Если данные ответа не соответствуют ожидаемым.
            ValidationError: Если данные ответа не соответствуют схеме.
        ","531","Create user","LMS service","Tue Aug 12 07:40:07 GMT 2025","passed","Tue Aug 12 07:40:07 GMT 2025","Create entity","Users","",""
"
        Тест обновления курса.

        Args:
            function_course (CourseFixture): Фикстура с данными курса.
            courses_client (CoursesClient): Клиент для работы с курсами.
        ","301","Update course","LMS service","Tue Aug 12 07:39:43 GMT 2025","passed","Tue Aug 12 07:39:43 GMT 2025","Update entity","Courses","",""
"
        Тест проверяет, что при запросе файла по его идентификатору,
        в ответе сервера возвращается информация о файле.

        Args:
            files_client (FilesClient): HTTP-клиент для взаимодействия с сервером.
            function_file (FileFixture): Объект с данными загруженного файла.

        Raises:
            AssertionError: Если данные в ответе не совпадают с ожидаемыми.
        ","16","Get file","LMS service","Tue Aug 12 07:40:06 GMT 2025","passed","Tue Aug 12 07:40:06 GMT 2025","Get entity","Files","",""
"
        Тест получения информации о пользователе по url users/{user_id}.

        Args:
            private_users_client (PrivateUsersClient): Клиент для работы с закрытыми users эндпоинтами API.
            function_user (UserFixture): Объект с данными созданного пользователя.

        Raises:
            AssertionError: Если статус код ответа не равен HTTPStatus.OK.
            AssertionError: Если данные ответа не соответствуют ожидаемым.
            ValidationError: Если данные ответа не соответствуют схеме.
        ","264","Get user by id","LMS service","Tue Aug 12 07:40:09 GMT 2025","passed","Tue Aug 12 07:40:09 GMT 2025","Get entity","Users","",""
"Тест обновления упражнения с некорректными значениями min_score и max_score.","15","Update exercise with incorrect score","LMS service","Tue Aug 12 07:39:59 GMT 2025","passed","Tue Aug 12 07:39:59 GMT 2025","Validate entity","Exercises","",""
"
        Тест удаления пользователя с некорректным id.

        Args:
            private_users_client (PrivateUsersClient): Клиент для работы с закрытыми users эндпоинтами API.

        Raises:
            AssertionError: Если статус код ответа не равен HTTPStatus.UNPROCESSABLE_ENTITY.
            AssertionError: Если данные ответа не соответствуют ожидаемым.
            ValidationError: Если данные ответа не соответствуют схеме.
        ","18","Delete user with invalid id","LMS service","Tue Aug 12 07:40:11 GMT 2025","passed","Tue Aug 12 07:40:11 GMT 2025","Validate entity","Users","",""
"
        Тест обновления курса с слишком длинным названием.

        Args:
            courses_client (CoursesClient): Клиент для работы с курсами.
            function_course (CourseFixture): Фикстура с данными курса.
        ","15","Update course with too long title","LMS service","Tue Aug 12 07:39:44 GMT 2025","passed","Tue Aug 12 07:39:44 GMT 2025","Validate entity","Courses","",""
"
        Тест удаления пользователя.

        Args:
            private_users_client (PrivateUsersClient): Клиент для работы с закрытыми users эндпоинтами API.
            public_users_client (PublicUsersClient): Клиент для работы с публичными users эндпоинтами API.

        Raises:
            AssertionError: Если статус код ответа не равен HTTPStatus.OK.
            AssertionError: Если данные ответа не соответствуют ожидаемым.
            AssertError: Если данные ответа не соответствуют ожидаемым.
        ","581","Delete user","LMS service","Tue Aug 12 07:40:09 GMT 2025","passed","Tue Aug 12 07:40:10 GMT 2025","Delete entity","Users","",""
"","255","Delete course with non-existent id","LMS service","Tue Aug 12 07:39:45 GMT 2025","passed","Tue Aug 12 07:39:45 GMT 2025","Validate entity","Courses","",""
"
        Тест создания упражнения с пустым обязательным полем.
        ","16","Attempt create exercise with empty description field","LMS service","Tue Aug 12 07:39:49 GMT 2025","passed","Tue Aug 12 07:39:49 GMT 2025","Validate entity","Exercises","",""
"
        Тест проверки обновления токена с некорректным токеном.

        Args:
            authentication_client (AuthenticationClient): Клиент для работы с аутентификацией.

        Raises:
            AssertionError: Если статус ответа не 422 UNPROCESSABLE_ENTITY или данные ответа не соответствуют ожиданиям.
            ValidationError: Если данные ответа не соответствуют схеме ValidationErrorResponseSchema.
        ","5","Refresh token with incorrect token","LMS service","Tue Aug 12 07:39:38 GMT 2025","passed","Tue Aug 12 07:39:38 GMT 2025","Validate entity","Authentication","",""
"
        Тест создания курса с пустым обязательным полем.

        Args:
            courses_client (CoursesClient): Клиент для работы с курсами.
            field_name (str): Имя поля, которое будет пустым в запросе.
        ","17","Attempt to create course with empty description field","LMS service","Tue Aug 12 07:39:38 GMT 2025","passed","Tue Aug 12 07:39:38 GMT 2025","Validate entity","Courses","",""
