"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","269","Получение курсов по несуществующему user_id","LMS service","Tue Aug 12 19:09:02 GMT 2025","passed","Tue Aug 12 19:09:02 GMT 2025","Validate entity","Courses","",""
"
        Тест обновления информации о пользователе.

        Args:
            private_users_client (PrivateUsersClient): Клиент для работы с закрытыми users эндпоинтами API.
            function_user (UserFixture): Объект с данными созданного пользователя.

        Raises:
            AssertionError: Если статус код ответа не равен HTTPStatus.OK.
            AssertionError: Если данные ответа не соответствуют ожидаемым.
            ValidationError: Если данные ответа не соответствуют схеме.
        ","21","Обновление информации о пользователе","LMS service","Tue Aug 12 19:09:26 GMT 2025","passed","Tue Aug 12 19:09:26 GMT 2025","Update entity","Users","",""
"
        Тест создания упражнения.

        Args:
            exercises_client (ExercisesClient): Клиент для работы с упражнениями.
            function_course (CourseFixture): Фикстура с данными курса.

        ","20","Создание упражнения","LMS service","Tue Aug 12 19:09:05 GMT 2025","passed","Tue Aug 12 19:09:05 GMT 2025","Create entity","Exercises","",""
"
        Тест создания упражнения с слишком длинным строковым полем.

        Args:
            exercises_client (ExercisesClient): Клиент для работы с упражнениями.
            field_name (str): Имя поля, которое будет содержать слишком длинное значение в запросе.
            function_course (CourseFixture): Фикстура с данными курса.
        ","18","Создание упражнения с слишком длинным значением в estimated_time поле","LMS service","Tue Aug 12 19:09:12 GMT 2025","passed","Tue Aug 12 19:09:12 GMT 2025","Validate entity","Exercises","",""
"
        Тест получения упражнений с не существующим course_id.

        Args:
            exercises_client (ExercisesClient): Клиент для работы с упражнениями.
        ","15","Получение упражнений по несуществующему course_id","LMS service","Tue Aug 12 19:09:03 GMT 2025","passed","Tue Aug 12 19:09:03 GMT 2025","Validate entity","Exercises","",""
"
        Тест обновления пользователя с пустым обязательным полем.

        Args:
            private_users_client (PrivateUsersClient): Клиент для работы с закрытыми users эндпоинтами API.
            function_user (UserFixture): Объект с данными созданного пользователя.
            field_name (str): Имя поля, которое будет содержать пустое значение в запросе.

        Raises:
            AssertionError: Если статус код ответа не равен HTTPStatus.UNPROCESSABLE_ENTITY.
            AssertionError: Если данные ответа не соответствуют ожидаемым.
            ValidationError: Если данные ответа не соответствуют схеме.
        ","16","Обновление пользователя с пустым обязательным полем middle_name","LMS service","Tue Aug 12 19:09:30 GMT 2025","passed","Tue Aug 12 19:09:30 GMT 2025","Validate entity","Users","",""
"
        Тест создания упражнения с некоррктным course_id.

        Args:
            exercises_client (ExercisesClient): Клиент для работы с упражнениями.
        ","19","Получение упражнения по некорректному идентификатору","LMS service","Tue Aug 12 19:09:04 GMT 2025","passed","Tue Aug 12 19:09:04 GMT 2025","Validate entity","Exercises","",""
"
        Тест обновления упражнения с пустым обязательным полем.

        Args:
            exercises_client (ExercisesClient): Клиент для работы с упражнениями.
            field_name (str): Имя поля, которое будет пустым в запросе.
            function_course (CourseFixture): Фикстура с данными курса.
        ","283","Обновление упражнения с пустым обязательным полем estimated_time","LMS service","Tue Aug 12 19:09:15 GMT 2025","passed","Tue Aug 12 19:09:16 GMT 2025","Validate entity","Exercises","",""
"
        Тест удаления пользователя с некорректным id.

        Args:
            private_users_client (PrivateUsersClient): Клиент для работы с закрытыми users эндпоинтами API.

        Raises:
            AssertionError: Если статус код ответа не равен HTTPStatus.UNPROCESSABLE_ENTITY.
            AssertionError: Если данные ответа не соответствуют ожидаемым.
            ValidationError: Если данные ответа не соответствуют схеме.
        ","262","Удаление несуществующего файла","LMS service","Tue Aug 12 19:09:23 GMT 2025","passed","Tue Aug 12 19:09:24 GMT 2025","Validate entity","Files","",""
"
        Тест создания упражнения с слишком длинным строковым полем.

        Args:
            exercises_client (ExercisesClient): Клиент для работы с упражнениями.
            field_name (str): Имя поля, которое будет содержать слишком длинное значение в запросе.
            function_course (CourseFixture): Фикстура с данными курса.
        ","18","Создание упражнения с слишком длинным значением в title поле","LMS service","Tue Aug 12 19:09:10 GMT 2025","passed","Tue Aug 12 19:09:10 GMT 2025","Validate entity","Exercises","",""
"","23","Удаление курса по некорректному идентификатору","LMS service","Tue Aug 12 19:09:02 GMT 2025","passed","Tue Aug 12 19:09:02 GMT 2025","Validate entity","Courses","",""
"
        Тест создания упражнения с пустым обязательным полем.

        Args:
            exercises_client (ExercisesClient): Клиент для работы с упражнениями.
            field_name (str): Имя поля, которое будет пустым в запросе.
            function_course (CourseFixture): Фикстура с данными курса.
        ","12","Попытка создать упражнение с пустым обязательным полем title","LMS service","Tue Aug 12 19:09:05 GMT 2025","passed","Tue Aug 12 19:09:05 GMT 2025","Validate entity","Exercises","",""
"
        Тест проверяет, что при запросе несуществующего файла,
        в ответе сервера возвращается ошибка.

        Args:
            files_client (FilesClient): HTTP-клиент для взаимодействия с сервером.

        Raises:
            AssertionError: Если данные в ответе не совпадают с ожидаемыми.
        ","265","Получение файла по некорректному file_id","LMS service","Tue Aug 12 19:09:22 GMT 2025","passed","Tue Aug 12 19:09:22 GMT 2025","Validate entity","Files","",""
"
        Тест проверки аутентификации пользователя.

        Args:
            function_user (UserFixture): Пользователь для аутентификации.
            authentication_client (AuthenticationClient): Клиент для работы с аутентификацией.

        Raises:
            AssertionError: Если статус ответа не 200 OK или данные ответа не соответствуют ожиданиям.
            ValidationError: Если данные ответа не соответствуют схеме LoginResponseSchema.
        ","530","Аутентификация пользователя","LMS service","Tue Aug 12 19:08:51 GMT 2025","passed","Tue Aug 12 19:08:52 GMT 2025","Login","Authentication","",""
