"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Тест получения курсов.

        Args:
            function_courses_list (CoursesListFixture): Фикстура с данными списка курсов.
            courses_client (CoursesClient): Клиент для работы с курсами.
        ","34","Get courses","LMS service","Fri Aug 08 13:44:34 GMT 2025","passed","Fri Aug 08 13:44:34 GMT 2025","Get entities","Courses","",""
"Тест создания упражнения с некоррктным course_id.","16","Create exercise with invalid course_id","LMS service","Fri Aug 08 13:44:42 GMT 2025","passed","Fri Aug 08 13:44:42 GMT 2025","Validate entity","Exercises","",""
"
        Тест создания курса с некорректным идентификатором.

        Args:
            courses_client (CoursesClient): Клиент для работы с курсами.
            field_name (str): Имя поля, которое будет содержать
            некорректное значение в запросе.
        ","254","Attempt to create course with invalid preview_file_id field","LMS service","Fri Aug 08 13:44:38 GMT 2025","passed","Fri Aug 08 13:44:39 GMT 2025","Validate entity","Courses","",""
"Тест создания пользователя.

        Args:
            public_users_client (PublicUsersClient): Клиент для работы с публичными users эндпоинтами API.

        Raises:
            AssertionError: Если статус код ответа не равен HTTPStatus.OK.
            ValidationError: Если данные ответа не соответствуют схеме.
        ","550","Create user","LMS service","Fri Aug 08 13:44:56 GMT 2025","passed","Fri Aug 08 13:44:57 GMT 2025","Create entity","Users","",""
"Тест получения информации об упражнении.","18","Get exercise","LMS service","Fri Aug 08 13:44:44 GMT 2025","passed","Fri Aug 08 13:44:44 GMT 2025","Get entity","Exercises","",""
"
        Тест проверяет, что при загрузке файла на сервер,
        в ответе сервера возвращается информация о файле.

        Args:
            files_client (FilesClient): HTTP-клиент для взаимодействия с сервером.

        Raises:
            AssertionError: Если данные в ответе не совпадают с ожидаемыми.
        ","25","Upload file","LMS service","Fri Aug 08 13:44:54 GMT 2025","passed","Fri Aug 08 13:44:54 GMT 2025","Create entity","Files","",""
"Тест создания пользователя.

        Args:
            public_users_client (PublicUsersClient): Клиент для работы с публичными users эндпоинтами API.

        Raises:
            AssertionError: Если статус код ответа не равен HTTPStatus.OK.
            ValidationError: Если данные ответа не соответствуют схеме.
        ","524","Create user","LMS service","Fri Aug 08 13:44:56 GMT 2025","passed","Fri Aug 08 13:44:57 GMT 2025","Create entity","Users","",""
"
        Тест создания упражнения с пустым обязательным полем.
        ","38","Attempt create exercise with empty course_id field","LMS service","Fri Aug 08 13:44:45 GMT 2025","passed","Fri Aug 08 13:44:45 GMT 2025","Validate entity","Exercises","",""
"
        Тест проверяет, что при отправке запроса с пустым полем в request,
        в ответе сервера возвращается ошибка валидации.

        Args:
            field_name (str): Имя поля, которое будет пустым в запросе.
            files_client (FilesClient): HTTP-клиент для взаимодействия с сервером.

        Raises:
            AssertionError: Если данные в ответе не совпадают с ожидаемыми.
        ","50","Upload file with missing request field: directory","LMS service","Fri Aug 08 13:44:55 GMT 2025","passed","Fri Aug 08 13:44:55 GMT 2025","Validate entity","Files","",""
"
        Тест проверяет, что при запросе несуществующего файла,
        в ответе сервера возвращается ошибка.

        Args:
            files_client (FilesClient): HTTP-клиент для взаимодействия с сервером.

        Raises:
            AssertionError: Если данные в ответе не совпадают с ожидаемыми.
        ","14","Get file with incorrect file id","LMS service","Fri Aug 08 13:44:56 GMT 2025","passed","Fri Aug 08 13:44:56 GMT 2025","Validate entity","Files","",""
