"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест создания пользователя.

        Args:
            public_users_client (PublicUsersClient): Клиент для работы с публичными users эндпоинтами API.

        Raises:
            AssertionError: Если статус код ответа не равен HTTPStatus.OK.
            ValidationError: Если данные ответа не соответствуют схеме.
        ","523","Create user","LMS service","Sun Aug 10 21:21:22 GMT 2025","passed","Sun Aug 10 21:21:23 GMT 2025","Create entity","Users","",""
"
        Тест создания курса с некорректным идентификатором.

        Args:
            courses_client (CoursesClient): Клиент для работы с курсами.
            field_name (str): Имя поля, которое будет содержать
            некорректное значение в запросе.
        ","256","Attempt to create course with invalid preview_file_id field","LMS service","Sun Aug 10 21:21:03 GMT 2025","passed","Sun Aug 10 21:21:03 GMT 2025","Validate entity","Courses","",""
"Тест создания пользователя с пустым обязательным полем.","12","Attempt create user with empty first_name field","LMS service","Sun Aug 10 21:21:26 GMT 2025","passed","Sun Aug 10 21:21:26 GMT 2025","Validate entity","Users","",""
"Тест получения информации об упражнении.","20","Get exercise","LMS service","Sun Aug 10 21:21:08 GMT 2025","passed","Sun Aug 10 21:21:08 GMT 2025","Get entity","Exercises","",""
"Тест удаления пользователя с некорректным id.","256","Delete user with invalid id","LMS service","Sun Aug 10 21:21:27 GMT 2025","passed","Sun Aug 10 21:21:27 GMT 2025","Validate entity","Users","",""
"Тест для проверки получения списка упражнений.","18","Get exercises","LMS service","Sun Aug 10 21:21:12 GMT 2025","passed","Sun Aug 10 21:21:12 GMT 2025","Get entities","Exercises","",""
"
        Тест получения информации о пользователе по url users/me.

        Args:
            private_users_client (PrivateUsersClient): Клиент для работы с закрытыми users эндпоинтами API.
            function_user (UserFixture): Объект с данными созданного пользователя.

        Raises:
            AssertionError: Если статус код ответа не равен HTTPStatus.OK.
            ValidationError: Если данные ответа не соответствуют схеме.
        ","264","Get user me","LMS service","Sun Aug 10 21:21:24 GMT 2025","passed","Sun Aug 10 21:21:24 GMT 2025","Get entity","Users","",""
"Тест создания пользователя с пустым обязательным полем.","10","Attempt create user with empty middle_name field","LMS service","Sun Aug 10 21:21:27 GMT 2025","passed","Sun Aug 10 21:21:27 GMT 2025","Validate entity","Users","",""
"Тест создания упражнения с слишком длинным строковым полем.","15","Attempt create exercise with to long value in estimated_time field","LMS service","Sun Aug 10 21:21:20 GMT 2025","passed","Sun Aug 10 21:21:20 GMT 2025","Validate entity","Exercises","",""
"
        Тест создания курса с слишком длинным названием.

        Args:
            courses_client (CoursesClient): Клиент для работы с курсами.
        ","262","Create course with too long title","LMS service","Sun Aug 10 21:21:05 GMT 2025","passed","Sun Aug 10 21:21:05 GMT 2025","Validate entity","Courses","",""
"Тест обновления упражнения с пустым обязательным полем.","15","Attempt update exercise with empty title field","LMS service","Sun Aug 10 21:21:21 GMT 2025","passed","Sun Aug 10 21:21:21 GMT 2025","Validate entity","Exercises","",""
"Тест обновления пользователя со значением, превышающим максимальную длину поля.","16","Attempt update user with to long value in middle_name field","LMS service","Sun Aug 10 21:21:31 GMT 2025","passed","Sun Aug 10 21:21:31 GMT 2025","Validate entity","Users","",""
"
        Тест создания курса с пустым обязательным полем.

        Args:
            courses_client (CoursesClient): Клиент для работы с курсами.
            field_name (str): Имя поля, которое будет пустым в запросе.
        ","261","Attempt to create course with empty title field","LMS service","Sun Aug 10 21:21:08 GMT 2025","passed","Sun Aug 10 21:21:08 GMT 2025","Validate entity","Courses","",""
"
        Тест проверяет, что при удалении файла,
        он удаляется из хранилища и не может быть получен по его идентификатору.

        Args:
            files_client (FilesClient): HTTP-клиент для взаимодействия с сервером.
            function_file (FileFixture): Объект с данными загруженного файла.

        Raises:
            AssertionError: Если данные в ответе не совпадают с ожидаемыми.
        ","18","Delete file","LMS service","Sun Aug 10 21:21:25 GMT 2025","passed","Sun Aug 10 21:21:25 GMT 2025","Delete entity","Files","",""
"
        Тест проверяет, что при запросе файла по его идентификатору,
        в ответе сервера возвращается информация о файле.

        Args:
            files_client (FilesClient): HTTP-клиент для взаимодействия с сервером.
            function_file (FileFixture): Объект с данными загруженного файла.

        Raises:
            AssertionError: Если данные в ответе не совпадают с ожидаемыми.
        ","13","Get file","LMS service","Sun Aug 10 21:21:21 GMT 2025","passed","Sun Aug 10 21:21:21 GMT 2025","Get entity","Files","",""
"Тест создания пользователя с пустым обязательным полем.","11","Attempt create user with empty last_name field","LMS service","Sun Aug 10 21:21:26 GMT 2025","passed","Sun Aug 10 21:21:26 GMT 2025","Validate entity","Users","",""
"Тест создания упражнения с некорректными значениями min_score и max_score.","9","Create exercise with incorrect score","LMS service","Sun Aug 10 21:21:16 GMT 2025","skipped","Sun Aug 10 21:21:16 GMT 2025","Validate entity","Exercises","",""
"
        Тест создания курса.

        Args:
            courses_client (CoursesClient): Клиент для работы с курсами.
            function_user (UserFixture): Фикстура с данными пользователя.
            function_file (FileFixture): Фикстура с данными файла.
        ","29","Create course","LMS service","Sun Aug 10 21:21:03 GMT 2025","passed","Sun Aug 10 21:21:03 GMT 2025","Create entity","Courses","",""
"
        Тест проверяет, что при запросе несуществующего файла,
        в ответе сервера возвращается ошибка.

        Args:
            files_client (FilesClient): HTTP-клиент для взаимодействия с сервером.

        Raises:
            AssertionError: Если данные в ответе не совпадают с ожидаемыми.
        ","263","Get file with incorrect file id","LMS service","Sun Aug 10 21:21:25 GMT 2025","passed","Sun Aug 10 21:21:26 GMT 2025","Validate entity","Files","",""
"Тест обновления пользователя с пустым обязательным полем.","16","Attempt update user with empty first_name field","LMS service","Sun Aug 10 21:21:27 GMT 2025","passed","Sun Aug 10 21:21:27 GMT 2025","Validate entity","Users","",""
"
        Тест обновления курса.

        Args:
            function_course (CourseFixture): Фикстура с данными курса.
            courses_client (CoursesClient): Клиент для работы с курсами.
        ","27","Update course","LMS service","Sun Aug 10 21:21:05 GMT 2025","passed","Sun Aug 10 21:21:06 GMT 2025","Update entity","Courses","",""
"
        Тест проверки аутентификации пользователя.

        Args:
            function_user (UserFixture): Пользователь для аутентификации.
            authentication_client (AuthenticationClient): Клиент для работы с аутентификацией.

        Raises:
            AssertionError: Если статус ответа не 200 OK или данные ответа не соответствуют ожиданиям.
            ValidationError: Если данные ответа не соответствуют схеме LoginResponseSchema.
        ","532","Login with correct email and password","LMS service","Sun Aug 10 21:21:00 GMT 2025","passed","Sun Aug 10 21:21:00 GMT 2025","Login","Authentication","",""
"Тест создания пользователя с пустым обязательным полем.","263","Attempt create user with empty email field","LMS service","Sun Aug 10 21:21:26 GMT 2025","passed","Sun Aug 10 21:21:26 GMT 2025","Validate entity","Users","",""
"Тест обновления пользователя с пустым обязательным полем.","259","Attempt update user with empty last_name field","LMS service","Sun Aug 10 21:21:28 GMT 2025","passed","Sun Aug 10 21:21:28 GMT 2025","Validate entity","Users","",""
"Тест создания пользователя.

        Args:
            public_users_client (PublicUsersClient): Клиент для работы с публичными users эндпоинтами API.

        Raises:
            AssertionError: Если статус код ответа не равен HTTPStatus.OK.
            ValidationError: Если данные ответа не соответствуют схеме.
        ","285","Create user","LMS service","Sun Aug 10 21:21:22 GMT 2025","passed","Sun Aug 10 21:21:22 GMT 2025","Create entity","Users","",""
