"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Тест создания курса с пустым обязательным полем.

        Args:
            courses_client (CoursesClient): Клиент для работы с курсами.
            field_name (str): Имя поля, которое будет пустым в запросе.
        ","17","Попытка создать курс с пустым preview_file_id полем","LMS service","Tue Aug 12 10:04:56 GMT 2025","passed","Tue Aug 12 10:04:56 GMT 2025","Validate entity","Courses","",""
"","562","Обновление токена","LMS service","Tue Aug 12 10:04:55 GMT 2025","passed","Tue Aug 12 10:04:55 GMT 2025","Login","Authentication","",""
"
        Тест получения информации об упражнении.

        Args:
            exercises_client (ExercisesClient): Клиент для работы с упражнениями.
            function_exercise (ExerciseFixture): Фикстура с данными упражнения.
        ","25","Получение упражнения","LMS service","Tue Aug 12 10:05:09 GMT 2025","passed","Tue Aug 12 10:05:09 GMT 2025","Get entity","Exercises","",""
"
        Тест обновления упражнения с слишком длинным строковым полем.

        Args:
            exercises_client (ExercisesClient): Клиент для работы с упражнениями.
            field_name (str): Имя поля, которое будет содержать слишком длинное значение в запросе.
            function_course (CourseFixture): Фикстура с данными курса.
        ","14","Обновление упражнения со слишком длинным значением в поле title","LMS service","Tue Aug 12 10:05:19 GMT 2025","passed","Tue Aug 12 10:05:19 GMT 2025","Validate entity","Exercises","",""
"","263","Получение курсов по несуществующему user_id","LMS service","Tue Aug 12 10:05:04 GMT 2025","passed","Tue Aug 12 10:05:04 GMT 2025","Validate entity","Courses","",""
"
        Тест обновления упражнения с слишком длинным строковым полем.

        Args:
            exercises_client (ExercisesClient): Клиент для работы с упражнениями.
            field_name (str): Имя поля, которое будет содержать слишком длинное значение в запросе.
            function_course (CourseFixture): Фикстура с данными курса.
        ","16","Обновление упражнения со слишком длинным значением в поле estimated_time","LMS service","Tue Aug 12 10:05:15 GMT 2025","passed","Tue Aug 12 10:05:15 GMT 2025","Validate entity","Exercises","",""
"
        Тест удаления курса.

        Args:
            function_course (CourseFixture): Фикстура с данными курса.
            courses_client (CoursesClient): Клиент для работы с курсами.
        ","298","Удаление курса","LMS service","Tue Aug 12 10:05:02 GMT 2025","passed","Tue Aug 12 10:05:02 GMT 2025","Delete entity","Courses","",""
"
        Тест создания пользователя со значением, превышающим максимальную длину поля.

        Args:
            public_users_client (PublicUsersClient): Клиент для работы с публичными users эндпоинтами API.
            field_name (str): Имя поля, которое будет содержать слишком длинное значение в запросе.

        Raises:
            AssertionError: Если статус код ответа не равен HTTPStatus.UNPROCESSABLE_ENTITY.
            AssertionError: Если данные ответа не соответствуют ожидаемым.
            ValidationError: Если данные ответа не соответствуют схеме.
        ","13","Создание пользователя с last_name превышающим максимальную длину поля","LMS service","Tue Aug 12 10:05:33 GMT 2025","passed","Tue Aug 12 10:05:33 GMT 2025","Validate entity","Users","",""
"
        Тест удаления пользователя с некорректным id.

        Args:
            private_users_client (PrivateUsersClient): Клиент для работы с закрытыми users эндпоинтами API.

        Raises:
            AssertionError: Если статус код ответа не равен HTTPStatus.UNPROCESSABLE_ENTITY.
            AssertionError: Если данные ответа не соответствуют ожидаемым.
            ValidationError: Если данные ответа не соответствуют схеме.
        ","261","Удаление несуществующего файла","LMS service","Tue Aug 12 10:05:26 GMT 2025","passed","Tue Aug 12 10:05:26 GMT 2025","Validate entity","Files","",""
"
        Тест проверяет, что при запросе файла по его идентификатору,
        в ответе сервера возвращается информация о файле.

        Args:
            files_client (FilesClient): HTTP-клиент для взаимодействия с сервером.
            function_file (FileFixture): Объект с данными загруженного файла.

        Raises:
            AssertionError: Если данные в ответе не совпадают с ожидаемыми.
        ","13","Получение файла","LMS service","Tue Aug 12 10:05:20 GMT 2025","passed","Tue Aug 12 10:05:20 GMT 2025","Get entity","Files","",""
