"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Тест проверяет, что при запросе файла по его идентификатору,
        в ответе сервера возвращается информация о файле.

        Args:
            files_client (FilesClient): HTTP-клиент для взаимодействия с сервером.
            function_file (FileFixture): Объект с данными загруженного файла.

        Raises:
            AssertionError: Если данные в ответе не совпадают с ожидаемыми.
        ","12","Get file","LMS service","Sat Aug 09 13:01:30 GMT 2025","passed","Sat Aug 09 13:01:30 GMT 2025","Get entity","Files","",""
"
        Тест создания упражнения с пустым обязательным полем.
        ","14","Attempt create exercise with empty course_id field","LMS service","Sat Aug 09 13:01:22 GMT 2025","passed","Sat Aug 09 13:01:22 GMT 2025","Validate entity","Exercises","",""
"
        Тест создания курса с некорректным идентификатором.

        Args:
            courses_client (CoursesClient): Клиент для работы с курсами.
            field_name (str): Имя поля, которое будет содержать
            некорректное значение в запросе.
        ","9","Attempt to create course with invalid created_by_user_id field","LMS service","Sat Aug 09 13:01:16 GMT 2025","passed","Sat Aug 09 13:01:16 GMT 2025","Validate entity","Courses","",""
"
        Тест создания упражнения с пустым обязательным полем.
        ","16","Attempt create exercise with empty estimated_time field","LMS service","Sat Aug 09 13:01:23 GMT 2025","passed","Sat Aug 09 13:01:23 GMT 2025","Validate entity","Exercises","",""
"
        Тест обновления курса.

        Args:
            function_course (CourseFixture): Фикстура с данными курса.
            courses_client (CoursesClient): Клиент для работы с курсами.
        ","30","Update course","LMS service","Sat Aug 09 13:01:14 GMT 2025","passed","Sat Aug 09 13:01:14 GMT 2025","Update entity","Courses","",""
"
        Тест создания курса с пустым обязательным полем.

        Args:
            courses_client (CoursesClient): Клиент для работы с курсами.
            field_name (str): Имя поля, которое будет пустым в запросе.
        ","258","Attempt to create course with empty created_by_user_id field","LMS service","Sat Aug 09 13:01:14 GMT 2025","passed","Sat Aug 09 13:01:14 GMT 2025","Validate entity","Courses","",""
"
        Тест проверяет, что при отправке запроса с пустым полем в request,
        в ответе сервера возвращается ошибка валидации.

        Args:
            field_name (str): Имя поля, которое будет пустым в запросе.
            files_client (FilesClient): HTTP-клиент для взаимодействия с сервером.

        Raises:
            AssertionError: Если данные в ответе не совпадают с ожидаемыми.
        ","18","Upload file with missing request field: directory","LMS service","Sat Aug 09 13:01:31 GMT 2025","passed","Sat Aug 09 13:01:31 GMT 2025","Validate entity","Files","",""
"
        Тест удаления курса.

        Args:
            function_course (CourseFixture): Фикстура с данными курса.
            courses_client (CoursesClient): Клиент для работы с курсами.
        ","311","Delete course","LMS service","Sat Aug 09 13:01:09 GMT 2025","passed","Sat Aug 09 13:01:09 GMT 2025","Delete entity","Courses","",""
"Тест обновления упражнения с некорректными значениями min_score и max_score.","12","Update exercise with incorrect score","LMS service","Sat Aug 09 13:01:29 GMT 2025","passed","Sat Aug 09 13:01:29 GMT 2025","Validate entity","Exercises","",""
"
        Тест проверяет, что при удалении файла,
        он удаляется из хранилища и не может быть получен по его идентификатору.

        Args:
            files_client (FilesClient): HTTP-клиент для взаимодействия с сервером.
            function_file (FileFixture): Объект с данными загруженного файла.

        Raises:
            AssertionError: Если данные в ответе не совпадают с ожидаемыми.
        ","18","Delete file","LMS service","Sat Aug 09 13:01:32 GMT 2025","passed","Sat Aug 09 13:01:32 GMT 2025","Delete entity","Files","",""
