"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест создания упражнения с слишком длинным строковым полем.","19","Attempt create exercise with to long value in title field","LMS service","Fri Aug 08 13:30:44 GMT 2025","passed","Fri Aug 08 13:30:44 GMT 2025","Validate entity","Exercises","",""
"Тест обновления упражнения с слишком длинным строковым полем.","19","Attempt update exercise with to long value in estimated_time field","LMS service","Fri Aug 08 13:30:47 GMT 2025","passed","Fri Aug 08 13:30:47 GMT 2025","Validate entity","Exercises","",""
"Тест обновления упражнения с пустым обязательным полем.","20","Attempt update exercise with empty title field","LMS service","Fri Aug 08 13:30:47 GMT 2025","passed","Fri Aug 08 13:30:47 GMT 2025","Validate entity","Exercises","",""
"Тест создания упражнения с некоррктным course_id.","24","Create exercise with invalid course_id","LMS service","Fri Aug 08 13:30:38 GMT 2025","passed","Fri Aug 08 13:30:38 GMT 2025","Validate entity","Exercises","",""
"
        Тест создания курса с пустым обязательным полем.

        Args:
            courses_client (CoursesClient): Клиент для работы с курсами.
            field_name (str): Имя поля, которое будет пустым в запросе.
        ","266","Attempt to create course with empty created_by_user_id field","LMS service","Fri Aug 08 13:30:34 GMT 2025","passed","Fri Aug 08 13:30:34 GMT 2025","Validate entity","Courses","",""
"
        Тест создания упражнения с пустым обязательным полем.
        ","14","Attempt create exercise with empty course_id field","LMS service","Fri Aug 08 13:30:42 GMT 2025","passed","Fri Aug 08 13:30:42 GMT 2025","Validate entity","Exercises","",""
"Тест создания упражнения с слишком длинным строковым полем.","18","Attempt create exercise with to long value in estimated_time field","LMS service","Fri Aug 08 13:30:45 GMT 2025","passed","Fri Aug 08 13:30:45 GMT 2025","Validate entity","Exercises","",""
"
        Тест создания курса с слишком длинным названием.

        Args:
            courses_client (CoursesClient): Клиент для работы с курсами.
        ","22","Create course with too long title","LMS service","Fri Aug 08 13:30:37 GMT 2025","passed","Fri Aug 08 13:30:37 GMT 2025","Validate entity","Courses","",""
"Тест удаления упражнения.","292","Delete exercise","LMS service","Fri Aug 08 13:30:36 GMT 2025","passed","Fri Aug 08 13:30:36 GMT 2025","Delete entity","Exercises","",""
"Тест обновления упражнения с пустым обязательным полем.","16","Attempt update exercise with empty description field","LMS service","Fri Aug 08 13:30:43 GMT 2025","passed","Fri Aug 08 13:30:43 GMT 2025","Validate entity","Exercises","",""
"
        Тест создания упражнения с пустым обязательным полем.
        ","41","Attempt create exercise with empty title field","LMS service","Fri Aug 08 13:30:39 GMT 2025","passed","Fri Aug 08 13:30:40 GMT 2025","Validate entity","Exercises","",""
"
        Тест получения курсов.

        Args:
            function_courses_list (CoursesListFixture): Фикстура с данными списка курсов.
            courses_client (CoursesClient): Клиент для работы с курсами.
        ","298","Get courses","LMS service","Fri Aug 08 13:30:30 GMT 2025","passed","Fri Aug 08 13:30:31 GMT 2025","Get entities","Courses","",""
"
        Тест создания курса с некорректным идентификатором.

        Args:
            courses_client (CoursesClient): Клиент для работы с курсами.
            field_name (str): Имя поля, которое будет содержать
            некорректное значение в запросе.
        ","252","Attempt to create course with invalid preview_file_id field","LMS service","Fri Aug 08 13:30:35 GMT 2025","passed","Fri Aug 08 13:30:35 GMT 2025","Validate entity","Courses","",""
"Тест создания пользователя.

        Args:
            public_users_client (PublicUsersClient): Клиент для работы с публичными users эндпоинтами API.

        Raises:
            AssertionError: Если статус код ответа не равен HTTPStatus.OK.
            ValidationError: Если данные ответа не соответствуют схеме.
        ","288","Create user","LMS service","Fri Aug 08 13:30:53 GMT 2025","passed","Fri Aug 08 13:30:53 GMT 2025","Create entity","Users","",""
